,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
152,100.0,0.0,39155,0,0,-1,1,0,3,-1.0,0.0,0,Adam,0.0,138,False,,2023-09-29T14:00:08.638239Z,49,39155.jpg,1.2,Lallana,0.0,False,,a,5,36,5,2352,97,5944,212,0.0,1.0,Lallana,111,0,0,1,2,0,0,0,1,0,0,0,13,14.4,39.5,10.0,6.4,1,0.00,0.06,0.06,2.53,356.0,155.0,209.0,119.0,303.0,157.0,318.0,144.0,,,,,,,0.0,0.0,0.05,0.05,2.05,1.62,216.0,138.0,644.0,257.0,326.0,152.0,517.0,181.0,0.81,0.81
153,75.0,,232792,0,0,0,0,0,2,-0.5,-0.2,0,Tariq,0.3,139,False,Knock - 75% chance of playing,2023-10-11T09:00:08.316457Z,40,232792.jpg,2.0,Lamptey,9.1,False,,d,5,36,8,650434,30098,450780,45585,0.1,2.0,Lamptey,137,0,2,0,5,0,0,0,2,0,0,0,45,43.4,25.6,7.0,7.6,1,0.02,0.08,0.10,1.97,272.0,105.0,255.0,82.0,323.0,109.0,305.0,106.0,,,,,,,0.01,0.0,0.05,0.06,1.29,3.28,642.0,182.0,304.0,97.0,217.0,73.0,45.0,14.0,0.66,0.0
154,100.0,100.0,109345,-1,1,-2,2,1,3,2.0,2.5,7,Solly,3.0,140,False,,2023-09-16T20:00:07.069068Z,63,109345.jpg,6.3,March,6.1,False,,a,5,36,38,1013938,20684,845372,32272,0.5,6.0,March,465,3,1,2,9,0,0,0,0,0,0,6,124,190.6,110.7,139.0,44.1,6,2.10,0.91,3.01,9.75,40.0,16.0,67.0,49.0,46.0,29.0,42.0,27.0,2.0,,2.0,,,,0.41,0.0,0.18,0.59,1.89,1.74,56.0,34.0,101.0,42.0,8.0,5.0,67.0,18.0,1.16,0.39
155,,,209288,0,0,-1,1,0,1,-1.0,-0.5,0,Tom,0.0,141,False,,,39,209288.jpg,0.0,McGill,0.3,False,,a,5,36,0,10182,1871,10091,654,0.0,0.0,McGill,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,443.0,34.0,425.0,17.0,398.0,12.0,447.0,34.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,713.0,82.0,376.0,31.0,450.0,34.0,289.0,41.0,0.0,0.0
156,50.0,50.0,15157,0,0,-2,2,0,3,-0.5,-0.2,0,James,0.0,142,False,Muscle injury - 50% chance of playing,2023-09-22T14:00:07.621312Z,48,15157.jpg,1.2,Milner,0.1,False,,d,5,36,6,5407,33,18166,622,0.0,1.2,Milner,227,0,0,1,4,0,0,0,2,0,0,0,36,27.6,29.2,2.0,5.9,3,0.00,0.26,0.26,4.59,310.0,132.0,238.0,131.0,378.0,188.0,322.0,146.0,,,,,,,0.0,0.0,0.1,0.1,1.82,1.59,281.0,183.0,628.0,247.0,323.0,150.0,373.0,117.0,1.19,0.4
157,75.0,,451340,0,0,1,-1,2,3,3.5,5.2,2,Kaoru,5.7,143,False,Fatigue - 75% chance of playing,2023-10-11T09:00:08.348049Z,66,451340.jpg,5.2,Mitoma,37.8,False,,d,5,36,42,1878931,40918,1846794,348379,0.9,6.4,Mitoma,665,3,3,0,15,0,0,0,3,0,0,6,132,207.6,217.0,256.0,68.2,7,1.96,1.99,3.95,13.91,30.0,10.0,21.0,16.0,15.0,9.0,11.0,8.0,,,,,,,0.27,0.0,0.27,0.54,1.88,2.03,46.0,27.0,31.0,18.0,25.0,14.0,5.0,3.0,0.95,0.0
158,,,243505,0,0,-1,1,0,3,-1.0,-0.5,0,Jakub,0.0,144,False,,,44,243505.jpg,0.0,Moder,0.1,False,,a,5,36,0,5180,408,6383,397,0.0,0.0,Moder,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,573.0,214.0,562.0,215.0,548.0,212.0,577.0,218.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,537.0,287.0,529.0,190.0,581.0,219.0,443.0,144.0,0.0,0.0
159,0.0,0.0,441192,0,0,0,0,0,3,0.0,0.0,0,Jeremy,0.0,146,False,Joined West Bromwich Albion on a season-long loan,2023-07-26T11:28:45.117167Z,45,441192.jpg,0.0,Sarmiento Morante,0.0,False,,u,5,36,0,0,0,1432,32,0.0,0.0,Sarmiento,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,616.0,238.0,613.0,239.0,604.0,238.0,621.0,242.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,414.0,232.0,578.0,215.0,624.0,243.0,665.0,269.0,0.0,0.0
160,0.0,0.0,240514,0,0,0,0,0,1,0.0,0.0,0,Kjell,0.0,147,False,Joined Sturm Graz on a season-long loan,2023-07-06T16:30:02.985300Z,40,240514.jpg,0.0,Scherpen,0.0,False,,u,5,36,0,0,0,31,0,0.0,0.0,Scherpen,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,492.0,59.0,476.0,43.0,450.0,38.0,497.0,59.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,647.0,57.0,428.0,57.0,499.0,59.0,724.0,85.0,0.0,0.0
161,,,49262,-1,1,-2,2,0,1,-1.0,-0.5,0,Jason,0.0,148,False,,,43,49262.jpg,2.0,Steele,2.7,False,,a,5,36,8,72375,1620,340995,16032,0.0,1.9,Steele,360,0,0,0,9,0,0,0,0,0,13,0,75,122.0,0.0,0.0,12.2,4,0.00,0.00,0.00,6.05,115.0,19.0,519.0,61.0,496.0,56.0,265.0,19.0,,,,,,,0.0,3.25,0.0,0.0,1.51,2.25,572.0,32.0,472.0,73.0,218.0,21.0,109.0,15.0,1.0,0.0
162,0.0,0.0,450434,0,0,0,0,0,4,0.0,0.0,0,Deniz,0.0,149,False,Season long loan to Stuttgart,2023-08-04T09:40:56.708875Z,55,450434.jpg,0.0,Undav,0.0,False,,u,5,36,0,0,0,4296,43,0.0,0.0,Undav,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,713.0,88.0,713.0,88.0,712.0,88.0,713.0,88.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,116.0,34.0,701.0,87.0,713.0,88.0,625.0,87.0,0.0,0.0
163,,,469142,0,0,0,0,0,2,-0.7,-0.2,1,Jan Paul,0.3,150,False,,,40,469142.jpg,1.5,van Hecke,1.7,False,,a,5,36,6,156535,3985,128240,5664,0.1,1.5,Van Hecke,297,0,0,0,3,0,0,0,1,0,0,0,53,100.8,2.6,17.0,12.0,3,0.02,0.02,0.04,4.03,149.0,57.0,371.0,135.0,258.0,76.0,267.0,88.0,,,,,,,0.01,0.0,0.01,0.02,1.22,0.91,672.0,203.0,306.0,99.0,279.0,88.0,130.0,52.0,0.91,0.0
164,,,111478,0,0,-1,1,0,2,-0.7,-0.2,1,Joël,0.3,151,False,,,44,111478.jpg,1.4,Veltman,0.8,False,,a,5,36,11,46424,4343,77022,4199,0.1,2.5,Veltman,512,0,1,0,13,0,0,0,1,0,0,0,95,115.0,38.9,23.0,17.8,5,0.07,0.21,0.28,10.42,126.0,50.0,210.0,55.0,235.0,69.0,192.0,60.0,,,,,,,0.01,0.0,0.04,0.05,1.83,2.29,488.0,105.0,310.0,103.0,296.0,97.0,182.0,72.0,0.88,0.0
165,,,489639,0,0,-1,1,0,1,0.0,0.5,1,Bart,1.0,152,False,,,44,489639.jpg,1.8,Verbruggen,0.4,False,,a,5,36,7,15209,1105,27846,1263,0.2,1.6,Verbruggen,360,0,0,0,7,0,0,0,0,0,10,0,59,90.4,0.0,0.0,9.1,4,0.00,0.00,0.00,8.49,167.0,20.0,574.0,67.0,560.0,63.0,292.0,20.0,,,,,,,0.0,2.5,0.0,0.0,2.12,1.75,559.0,30.0,226.0,19.0,251.0,24.0,251.0,31.0,1.0,0.0
166,100.0,100.0,110735,-1,1,-2,2,0,2,-0.7,-0.2,0,Adam,0.3,153,False,,2023-08-11T13:30:06.362659Z,43,110735.jpg,0.8,Webster,0.2,False,,a,5,36,3,10970,609,21445,917,0.1,0.7,Webster,360,0,0,0,11,0,0,0,1,0,0,0,63,83.8,9.0,8.0,10.1,4,0.10,0.08,0.18,8.34,184.0,75.0,344.0,124.0,316.0,105.0,283.0,100.0,,,,,,,0.02,0.0,0.02,0.04,2.08,2.75,576.0,143.0,307.0,100.0,411.0,138.0,311.0,120.0,1.0,0.0
167,100.0,100.0,50175,0,0,-2,2,0,4,0.0,0.5,1,Danny,1.0,154,False,,2023-09-01T13:30:07.634596Z,58,50175.jpg,2.0,Welbeck,1.0,False,,a,5,36,14,69935,3298,211184,6579,0.2,2.4,Welbeck,392,1,0,2,6,0,0,0,1,0,0,1,41,61.0,71.3,86.0,21.9,6,1.07,0.37,1.44,6.22,229.0,25.0,125.0,15.0,95.0,30.0,147.0,23.0,,,,,3.0,,0.25,0.0,0.08,0.33,1.43,1.38,73.0,25.0,247.0,33.0,239.0,31.0,168.0,26.0,1.38,0.46
168,0.0,0.0,204676,0,0,-1,1,0,4,0.0,0.0,0,Andi,0.0,155,False,Permanent transfer to Genk,2023-09-06T09:25:40.755182Z,44,204676.jpg,0.0,Zeqiri,0.6,False,,u,5,36,0,25876,0,85044,2653,0.0,0.0,Zeqiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,560.0,55.0,549.0,58.0,533.0,56.0,564.0,56.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,515.0,89.0,514.0,54.0,568.0,59.0,205.0,35.0,0.0,0.0
169,75.0,,223434,0,0,-2,2,0,2,-0.5,-0.2,1,Igor Julio,0.3,606,False,Knock - 75% chance of playing,2023-10-09T08:30:09.354344Z,43,223434.jpg,1.0,dos Santos de Paulo,0.1,False,,d,5,36,1,3614,250,9472,633,0.1,0.2,Igor,62,0,0,0,2,0,0,0,0,0,0,0,14,14.0,20.3,2.0,3.6,1,0.00,0.00,0.00,2.17,358.0,136.0,273.0,89.0,361.0,129.0,357.0,127.0,,,,,,,0.0,0.0,0.0,0.0,3.15,2.9,583.0,150.0,309.0,102.0,344.0,121.0,407.0,157.0,1.45,0.0
170,,,532529,0,0,0,0,0,3,-0.3,0.2,0,Jack,0.7,621,False,,,45,532529.jpg,2.0,Hinshelwood,0.0,False,,a,5,36,2,1347,112,1280,100,0.2,0.4,Hinshelwood,85,0,0,0,5,0,0,0,0,0,0,0,12,6.2,22.8,2.0,3.1,1,0.00,0.02,0.02,1.28,392.0,179.0,265.0,143.0,372.0,184.0,371.0,171.0,,,,,,,0.0,0.0,0.02,0.02,1.36,5.29,459.0,260.0,273.0,122.0,226.0,98.0,600.0,233.0,1.06,0.0
171,,,535301,0,0,0,0,0,3,0.0,0.5,1,Carlos,1.0,690,False,,,45,535301.jpg,1.0,Baleba,0.0,False,,a,5,36,3,4107,1286,1430,355,0.2,0.7,Baleba,110,0,0,0,3,0,0,0,1,0,0,0,13,23.6,2.4,1.0,2.7,1,0.10,0.01,0.11,3.57,323.0,139.0,373.0,186.0,382.0,192.0,382.0,177.0,,,,,,,0.08,0.0,0.01,0.09,2.92,2.45,461.0,261.0,232.0,106.0,371.0,167.0,538.0,196.0,0.82,0.0
172,,,465607,0,0,0,0,0,3,1.3,1.8,1,Anssumane,2.3,700,False,,,65,465607.jpg,2.0,Fati Vieira,0.5,False,,a,5,36,8,78294,3617,39605,6643,0.4,1.2,Ansu Fati,117,1,0,0,4,0,0,0,1,0,0,0,16,41.4,14.0,92.0,14.7,0,1.87,0.10,1.97,1.67,278.0,117.0,307.0,159.0,82.0,49.0,236.0,107.0,,,,,,,1.44,0.0,0.08,1.52,1.28,3.08,51.0,30.0,141.0,59.0,240.0,108.0,222.0,68.0,0.0,0.0
173,,,578614,0,0,-1,1,0,3,-0.5,-0.5,0,Enock,0.0,156,False,,,44,578614.jpg,0.0,Agyei,0.1,False,,a,6,90,0,4144,255,11858,487,0.0,0.0,Agyei,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,589.0,228.0,580.0,229.0,568.0,227.0,593.0,232.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,570.0,308.0,548.0,205.0,597.0,233.0,392.0,125.0,0.0,0.0
174,75.0,,487968,0,0,0,0,0,2,0.4,0.5,-1,Ameen,1.0,157,False,Knock - 75% chance of playing,2023-10-18T22:00:08.810786Z,40,487968.jpg,1.0,Al-Dakhil,0.8,False,,d,6,90,8,73806,3383,48878,5716,0.2,2.0,Al-Dakhil,675,0,0,0,17,1,0,0,0,0,0,0,73,87.6,28.1,34.0,14.9,8,0.19,0.48,0.67,13.44,177.0,70.0,241.0,72.0,199.0,51.0,231.0,76.0,,,,,,,0.03,0.0,0.06,0.09,1.79,2.27,683.0,209.0,222.0,72.0,342.0,119.0,183.0,73.0,1.07,0.0
175,0.0,0.0,189776,0,0,-1,1,0,3,0.0,0.0,0,Samuel,0.0,158,False,Has joined Kasimpasa S.K. on loan,2023-09-18T10:36:05.969054Z,49,189776.jpg,0.0,Bastien,0.0,False,,u,6,90,0,326,0,2386,73,0.0,0.0,Bastien,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,674.0,278.0,673.0,278.0,667.0,276.0,676.0,279.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,242.0,158.0,653.0,265.0,676.0,278.0,620.0,245.0,0.0,0.0
176,50.0,25.0,183751,-1,1,-3,3,0,3,-0.1,-0.1,0,Manuel Benson,0.2,159,False,Knock - 50% chance of playing,2023-09-27T09:00:08.265496Z,52,183751.jpg,1.0,Hedilazio,0.1,False,,d,6,90,3,1477,30,13487,438,0.0,0.6,Benson,65,0,0,0,3,0,0,0,0,0,0,0,8,6.0,4.3,22.0,3.3,1,0.03,0.01,0.04,3.09,395.0,182.0,362.0,180.0,239.0,124.0,363.0,166.0,4.0,,,,,,0.04,0.0,0.01,0.05,4.28,4.15,156.0,99.0,361.0,171.0,396.0,187.0,449.0,148.0,1.38,0.0
177,0.0,100.0,241231,0,0,0,0,0,2,0.0,0.3,0,Jordan,0.8,160,False,Knock - Unknown return date,2023-10-07T21:00:07.723066Z,40,241231.jpg,1.0,Beyer,2.3,False,,i,6,90,6,59958,585,257153,23573,0.2,1.5,Beyer,503,0,0,0,12,0,0,0,3,0,0,1,88,136.2,5.4,0.0,14.2,6,0.00,0.03,0.03,9.20,100.0,37.0,354.0,128.0,451.0,167.0,243.0,81.0,,,,,,,0.0,0.0,0.01,0.01,1.65,2.15,648.0,186.0,255.0,82.0,340.0,117.0,117.0,45.0,1.07,0.0
178,,,172782,0,0,-2,2,0,3,1.5,1.5,2,Josh,2.0,161,False,,,48,172782.jpg,2.3,Brownhill,0.2,False,,a,6,90,16,12938,822,23435,1519,0.4,3.3,Brownhill,491,1,0,0,12,0,0,0,1,0,0,0,88,89.8,145.4,52.0,28.8,5,0.46,0.90,1.36,8.88,170.0,65.0,43.0,29.0,148.0,87.0,93.0,53.0,1.0,,3.0,,,,0.08,0.0,0.16,0.24,1.63,2.2,302.0,200.0,159.0,67.0,188.0,78.0,334.0,101.0,0.92,0.0
179,100.0,100.0,250735,0,0,-1,1,0,3,-0.5,-0.5,0,Darko,0.0,162,False,,2023-08-31T18:00:07.313510Z,44,250735.jpg,0.0,Churlinov,0.0,False,,a,6,90,0,624,124,2725,77,0.0,0.0,Churlinov,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,576.0,217.0,565.0,218.0,551.0,215.0,580.0,221.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,542.0,290.0,532.0,193.0,584.0,222.0,598.0,232.0,0.0,0.0
180,,,40145,0,0,-2,2,0,3,-0.5,-0.5,0,Jack,0.0,163,False,,,48,40145.jpg,1.0,Cork,0.0,False,,a,6,90,1,390,38,1861,59,0.0,0.2,Cork,16,0,0,0,0,0,0,0,0,0,0,0,2,1.8,0.9,2.0,0.5,0,0.00,0.01,0.01,0.13,419.0,195.0,389.0,192.0,379.0,189.0,420.0,194.0,,,,,,,0.0,0.0,0.06,0.06,0.73,0.0,283.0,184.0,630.0,248.0,378.0,172.0,583.0,222.0,0.0,0.0
181,0.0,0.0,530873,0,0,0,0,0,3,0.0,0.0,0,Dara,0.0,164,False,Season long loan to St Johnstone,2023-08-17T06:12:47.501520Z,45,530873.jpg,0.0,Costelloe,0.0,False,,u,6,90,0,101,0,2607,39,0.0,0.0,Costelloe,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,648.0,259.0,644.0,260.0,636.0,259.0,653.0,263.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,454.0,258.0,612.0,238.0,652.0,262.0,649.0,262.0,0.0,0.0
182,,,172567,0,0,0,0,0,3,1.3,1.3,1,Josh,1.8,165,False,,,50,172567.jpg,2.0,Cullen,0.1,False,,a,6,90,16,6328,223,5572,645,0.4,3.2,Cullen,690,0,1,0,18,0,0,0,3,0,0,0,106,111.6,92.9,18.0,22.2,8,0.08,0.81,0.89,14.31,132.0,45.0,90.0,66.0,254.0,133.0,145.0,77.0,,,,,,,0.01,0.0,0.11,0.12,1.87,2.35,184.0,112.0,175.0,77.0,235.0,105.0,427.0,137.0,1.04,0.0
183,,,432711,0,0,-1,1,0,2,-0.5,-0.5,0,CJ,0.0,166,False,,,39,432711.jpg,0.0,Egan-Riley,0.2,False,,a,6,90,0,14458,968,11220,736,0.0,0.0,Egan-Riley,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,446.0,161.0,428.0,157.0,402.0,143.0,450.0,160.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,718.0,230.0,379.0,125.0,453.0,159.0,313.0,122.0,0.0,0.0
184,0.0,0.0,478969,0,0,-1,1,0,2,0.0,0.0,0,Hjalmar,0.0,167,False,Knee injury - Unknown return date,2023-08-31T02:00:07.493185Z,39,478969.jpg,0.0,Ekdal,0.1,False,,i,6,90,0,2077,213,13808,536,0.0,0.0,Ekdal,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,449.0,164.0,431.0,160.0,405.0,146.0,453.0,163.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,722.0,234.0,383.0,129.0,456.0,162.0,383.0,145.0,0.0,0.0
185,100.0,100.0,435973,0,0,0,0,0,4,3.0,3.0,5,Lyle,3.5,168,False,,2023-09-18T21:30:07.410356Z,50,435973.jpg,5.2,Foster,1.3,False,,a,6,90,31,168693,47282,87343,8871,0.7,6.2,Foster,519,3,2,1,16,0,0,0,0,1,0,4,100,164.4,56.0,122.0,34.2,6,1.56,0.23,1.79,10.30,62.0,6.0,166.0,23.0,57.0,21.0,70.0,15.0,,,,,,,0.27,0.0,0.04,0.31,1.79,2.77,201.0,45.0,72.0,7.0,24.0,5.0,152.0,25.0,1.04,0.17
186,,,493347,0,0,-1,1,0,1,-0.5,-0.5,0,Denis,0.0,169,False,,,39,493347.jpg,0.0,Franchi,0.2,False,,a,6,90,0,4924,1039,6872,426,0.0,0.0,Franchi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,450.0,36.0,432.0,19.0,406.0,14.0,454.0,36.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,723.0,84.0,384.0,33.0,457.0,36.0,362.0,54.0,0.0,0.0
187,50.0,25.0,60586,-1,1,-2,2,0,3,-0.1,-0.1,0,Jóhann Berg,0.2,170,False,Muscle injury - 50% chance of playing,2023-09-25T13:00:08.033849Z,48,60586.jpg,1.8,Gudmundsson,0.0,False,,d,6,90,7,1195,27,3775,200,0.0,1.5,Gudmundsson,171,0,1,0,4,0,0,0,1,0,0,0,29,34.2,63.3,6.0,10.4,3,0.00,0.24,0.24,2.52,293.0,123.0,143.0,94.0,334.0,169.0,280.0,123.0,2.0,,2.0,,,,0.0,0.0,0.13,0.13,1.33,2.11,288.0,187.0,356.0,166.0,252.0,114.0,578.0,218.0,1.58,0.0
188,0.0,0.0,483391,0,0,0,0,0,2,0.0,0.0,0,Luke,0.0,171,False,Season long loan to Stoke City,2023-08-04T09:35:51.951556Z,40,483391.jpg,0.0,McNally,0.0,False,,u,6,90,0,0,0,1513,43,0.0,0.0,McNally,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,518.0,198.0,501.0,194.0,478.0,183.0,522.0,197.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,681.0,208.0,455.0,165.0,525.0,196.0,641.0,219.0,0.0,0.0
189,,,232917,0,0,-1,1,0,1,-0.5,-0.5,0,Arijanet,0.0,172,False,,,44,232917.jpg,0.0,Muric,0.2,False,,a,6,90,0,1025,77,12980,440,0.0,0.0,Muric,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,569.0,79.0,558.0,66.0,544.0,62.0,573.0,79.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,533.0,29.0,525.0,78.0,577.0,79.0,352.0,53.0,0.0,0.0
190,,,216616,0,0,-1,1,0,2,-0.5,-0.5,0,Dara,0.0,173,False,,,44,216616.jpg,0.5,O'Shea,0.2,False,,a,6,90,2,3941,136,10635,550,0.0,0.5,O'Shea,315,0,0,0,14,0,0,0,0,0,0,0,52,84.4,16.0,11.0,11.2,3,0.04,0.02,0.06,8.25,182.0,74.0,293.0,97.0,295.0,94.0,273.0,93.0,,,,,,,0.01,0.0,0.01,0.02,2.36,4.0,522.0,125.0,519.0,204.0,428.0,147.0,343.0,132.0,0.86,0.0
191,0.0,0.0,220598,0,0,-1,1,0,4,0.0,0.0,0,Michael,0.0,174,False,Hamstring injury - Unknown return date,2023-08-06T23:30:05.563053Z,49,220598.jpg,0.0,Obafemi,0.0,False,,i,6,90,0,1127,131,3867,184,0.0,0.0,Obafemi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,677.0,80.0,676.0,82.0,671.0,81.0,679.0,81.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,255.0,51.0,658.0,81.0,679.0,82.0,566.0,79.0,0.0,0.0
192,0.0,0.0,220037,0,0,0,0,0,1,0.0,0.0,0,Bailey,0.0,175,False,Joined Aarhus on loan,2023-07-26T11:25:50.410533Z,40,220037.jpg,0.0,Peacock-Farrell,0.0,False,,u,6,90,0,0,0,790,42,0.0,0.0,Peacock-Farrell,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,485.0,56.0,469.0,40.0,443.0,35.0,490.0,56.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,639.0,54.0,421.0,54.0,492.0,56.0,653.0,80.0,0.0,0.0
193,,,192290,0,0,-1,1,0,2,1.3,1.3,0,Connor,1.8,176,False,,,44,192290.jpg,1.2,Roberts,0.3,False,,a,6,90,10,12168,1334,16926,1812,0.4,2.3,Roberts,656,0,1,0,18,0,0,0,2,0,0,0,98,120.2,90.5,8.0,21.8,7,0.00,0.33,0.33,13.45,119.0,47.0,95.0,20.0,317.0,106.0,148.0,39.0,,,,,,,0.0,0.0,0.05,0.05,1.85,2.47,508.0,116.0,172.0,58.0,320.0,108.0,288.0,111.0,0.96,0.0
194,,,44683,0,0,-2,2,0,4,0.3,0.3,0,Jay,0.8,177,False,,,53,44683.jpg,1.0,Rodriguez,0.2,False,,a,6,90,4,6798,315,20420,831,0.2,0.8,Rodriguez,68,0,0,0,2,0,0,0,0,0,0,0,4,5.2,4.1,16.0,2.0,0,0.56,0.00,0.56,1.90,400.0,47.0,363.0,49.0,271.0,47.0,400.0,50.0,,,,,1.0,,0.74,0.0,0.0,0.74,2.51,2.65,137.0,38.0,257.0,37.0,397.0,51.0,351.0,56.0,0.0,0.0
195,,,103914,0,0,-1,1,0,2,0.3,0.3,0,Charlie,0.8,178,False,,,39,103914.jpg,1.0,Taylor,3.4,False,,a,6,90,5,331576,54449,93854,11565,0.2,1.3,Taylor,450,0,0,0,9,0,0,0,2,0,0,0,55,72.6,27.0,8.0,10.8,5,0.08,0.11,0.19,7.71,210.0,84.0,246.0,75.0,315.0,104.0,278.0,98.0,,,,,,,0.02,0.0,0.02,0.04,1.54,1.8,704.0,223.0,253.0,80.0,335.0,112.0,96.0,35.0,1.0,0.0
196,0.0,0.0,461102,0,0,0,0,0,2,0.0,0.0,0,Bobby,0.0,179,False,Permanent transfer to Coventry,2023-07-24T09:55:44.165399Z,40,461102.jpg,0.0,Thomas,0.0,False,,u,6,90,0,0,0,1096,37,0.0,0.0,Thomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,505.0,191.0,489.0,188.0,465.0,176.0,510.0,191.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,665.0,198.0,442.0,158.0,513.0,190.0,639.0,217.0,0.0,0.0
197,0.0,0.0,226473,0,0,-1,1,0,3,0.0,0.0,0,Scott,0.0,180,False,Season long loan to Hull,2023-08-21T08:28:24.720790Z,49,226473.jpg,0.0,Twine,0.0,False,,u,6,90,0,119,0,2540,25,0.0,0.0,Twine,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,679.0,281.0,678.0,281.0,673.0,279.0,681.0,282.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,258.0,167.0,660.0,270.0,681.0,281.0,664.0,268.0,0.0,0.0
198,,,133085,0,0,0,0,0,1,-0.5,-0.5,0,Lawrence,0.0,181,False,,,40,133085.jpg,0.0,Vigouroux,0.2,False,,a,6,90,0,2601,132,7119,375,0.0,0.0,Vigouroux,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,469.0,49.0,453.0,33.0,427.0,28.0,474.0,49.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,620.0,47.0,405.0,47.0,476.0,49.0,324.0,50.0,0.0,0.0
