assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,0,,,0,209037,0,0,0,0,0.0,513,198,0,2,1.0,-0.5,0,Zech,0.0,0,0,0.0,533,197,636,False,0.0,530,197,0,,,40,0,0,0,209037.jpg,0.0,0,0,Medley,0.0,False,,a,1,3,0.0,480,187,0,1956,123,787,90,0.0,0.0,Medley,0
0,0,0,,,0,113534,0,0,0,0,0.0,507,23,0,1,1.0,-0.5,0,Matt,0.0,0,0,0.0,527,44,646,False,0.0,524,44,0,,,40,0,0,0,113534.jpg,0.0,0,0,Macey,0.0,False,,a,1,3,0.0,474,15,0,1516,146,505,84,0.0,0.0,Macey,0
0,0,0,,,0,232241,0,0,0,0,0.0,518,201,0,2,1.0,-0.5,0,Matthew,0.0,0,0,0.0,538,200,647,False,0.0,535,200,0,,,40,0,0,0,232241.jpg,0.0,0,0,Smith,0.0,False,,a,1,3,0.0,486,191,0,915,81,346,58,0.0,0.0,Smith,0
1,7,220,,,2,37339,0,0,-4,4,309.7,132,31,0,2,1.4,1.9,1,Ahmed,2.4,28,1,62.7,239,74,22,False,249.8,263,106,1000,,,41,0,0,0,37339.jpg,2.2,0,0,El Mohamady,1.1,False,,a,2,7,67.0,317,106,38,110939,2186,170896,1117,0.6,9.3,El Mohamady,1
0,0,0,0.0,0.0,0,43252,0,0,-3,3,0.0,542,210,0,2,0.0,0.0,0,James,0.0,0,0,0.0,560,209,23,False,0.0,557,209,0,Joined Stoke City on loan until the end of the season on 31/1. - Expected back 01 Aug,2020-01-31T15:00:12.372885Z,42,0,0,0,43252.jpg,0.0,0,0,Chester,0.0,False,,n,2,7,0.0,515,203,0,2078,11,8445,8,0.0,0.0,Chester,0
0,0,163,75.0,75.0,2,47390,0,0,-3,3,79.7,292,88,0,2,-0.2,0.1,0,Neil,0.7,25,0,26.7,366,133,24,False,157.6,333,129,1088,Hamstring injury - 75% chance of playing,2020-07-12T16:00:17.086537Z,42,0,0,0,47390.jpg,1.6,0,0,Taylor,0.2,False,,d,2,7,29.0,374,135,22,27028,32,32214,357,0.2,5.2,Taylor,2
0,0,199,75.0,75.0,2,123354,0,0,-1,1,33.0,368,129,1,2,0.5,0.9,0,Kortney,1.7,33,1,62.7,240,75,25,False,345.6,204,75,1530,Rib Injury - 75% chance of playing,2020-07-13T09:00:24.485275Z,44,0,0,0,123354.jpg,1.9,0,0,Hause,0.1,False,,d,2,7,248.0,159,25,33,7926,7,8561,440,0.4,7.5,Hause,3
0,0,14,0.0,0.0,0,54764,0,0,-1,1,12.2,418,63,0,4,0.0,0.0,0,Jonathan,0.0,6,0,3.8,454,64,26,False,3.4,486,67,111,Joined Al-Gharafa on a permanent deal on 20/1.,2020-01-08T20:30:20.825750Z,54,0,0,0,54764.jpg,0.8,0,0,Kodjia,0.1,False,,u,2,7,24.0,382,63,5,4353,7,28002,9,0.0,0.9,Kodjia,1
0,0,90,100.0,100.0,1,98770,0,0,-2,2,0.0,561,51,0,1,-0.1,0.4,0,Ørjan,0.9,12,0,10.2,415,29,27,False,101.2,376,29,537,,2019-07-30T15:00:08.973693Z,43,0,0,0,98770.jpg,2.1,0,15,Nyland,0.4,False,,a,2,7,0.0,538,46,15,53531,56,42362,835,0.2,3.5,Nyland,0
5,9,309,100.0,100.0,4,85242,0,0,-3,3,502.6,49,36,2,3,2.1,2.6,7,Conor,3.1,29,3,118.6,103,60,28,False,369.0,193,78,1379,,2019-12-15T13:00:22.404997Z,57,0,0,0,85242.jpg,3.1,0,0,Hourihane,0.1,False,,a,2,7,315.0,121,65,77,20613,349,31325,74,0.5,13.5,Hourihane,4
