chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text
,,184704,0,0,-2,2,0,3,0.5,0.7,1,Marvelous,1.2,44,False,,,43,184704.jpg,2.1,Nakamba,0.4,False,,a,2,7,27,86015,0,101021,0,0.3,6.3,Nakamba,747,0,1,4,6,0,0,0,3,0,0,1,115,87.8,32.2,10.0,13.1,384,162,364,183,411,189,407,179,,,,,,
100.0,100.0,193488,0,0,-8,8,2,3,4.3,4.3,9,Anwar,4.8,45,False,,2021-03-06T20:30:26.625281Z,52,193488.jpg,4.0,El Ghazi,1.2,False,,a,2,7,111,616662,0,552243,0,0.9,21.3,El Ghazi,1604,10,0,5,22,0,0,0,2,0,0,13,339,468.0,423.9,703.0,159.3,150,56,75,54,46,25,58,34,1.0,,3.0,,1.0,
100.0,100.0,199798,0,0,1,-1,1,2,1.8,2.0,2,Ezri,2.5,46,False,,2020-12-17T18:30:14.260503Z,46,199798.jpg,3.3,Konsa Ngoyo,6.2,False,,a,2,7,119,1426216,0,1059500,0,0.5,25.9,Konsa,3195,2,0,12,46,0,0,0,3,0,0,8,580,679.2,33.9,274.0,99.1,53,15,360,127,150,22,146,33,,,,,,
0.0,0.0,203368,0,0,-2,2,0,2,0.0,0.0,0,Frédéric,0.0,47,False,Joined Strasbourg on loan until the end of the season on 31/1.,2021-01-31T20:00:26.030939Z,43,203368.jpg,0.0,Guilbert,0.1,False,,u,2,7,0,2055,0,10208,0,0.0,0.0,Guilbert,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,586,227,572,228,553,222,595,227,,,,,,
100.0,100.0,213345,0,0,0,0,0,4,0.0,-0.2,0,Wesley,0.3,48,False,,2020-08-15T10:00:11.458856Z,60,213345.jpg,1.0,Moraes,0.0,False,,a,2,7,3,2651,0,2640,0,0.0,0.5,Wesley,15,0,0,0,1,0,0,0,0,0,0,0,11,5.0,1.1,17.0,2.3,481,62,460,67,398,62,471,62,,,,,,
0.0,0.0,217487,0,0,-1,1,0,4,0.0,0.0,0,Mbwana,0.0,49,False,Joined Fenerbahce on a permanent deal on 25/9,2020-09-25T09:00:10.072147Z,59,217487.jpg,0.0,Samatta,0.0,False,,u,2,7,0,1633,0,8479,0,0.0,0.0,Samatta,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,711,91,712,92,711,92,712,92,,,,,,
100.0,100.0,221239,0,0,-3,3,0,4,1.2,0.3,0,Keinan,0.8,50,False,,2020-11-24T23:00:18.514322Z,42,221239.jpg,1.5,Davis,7.6,False,,a,2,7,23,1359157,0,1866164,0,0.2,5.5,Davis,265,1,1,1,1,0,0,0,0,0,0,0,85,77.2,76.7,169.0,31.7,392,49,310,46,208,49,350,49,,,,,,
0.0,0.0,223349,0,0,-2,2,0,4,0.0,0.0,0,Indiana,0.0,51,False,Joined Burton Albion on loan until the end of the season on 17/9. - Expected back 01 Jul,2020-09-17T16:30:17.739025Z,43,223349.jpg,0.0,Vassilev,0.5,False,,u,2,7,0,63562,0,164727,0,0.0,0.0,Vassilev,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,589,68,576,72,557,72,598,73,,,,,,
100.0,100.0,230046,0,0,-2,2,0,3,1.3,1.0,0,Douglas Luiz,1.5,52,False,,2020-12-12T15:00:17.663312Z,48,230046.jpg,2.2,Soares de Paulo,0.2,False,,a,2,7,72,32703,0,48081,0,0.3,15.0,Douglas Luiz,2781,0,2,12,41,0,0,0,8,1,0,0,358,403.4,304.5,189.0,90.0,183,71,130,87,196,101,166,91,,,5.0,,,
100.0,0.0,88894,0,0,-2,2,1,3,0.0,0.0,0,Ross,1.2,106,False,,2021-05-19T00:00:25.526750Z,58,88894.jpg,2.9,Barkley,0.7,False,,a,2,7,76,516766,0,520520,0,0.2,13.1,Barkley,1566,3,2,8,24,0,0,0,0,0,0,4,286,274.2,579.3,431.0,128.6,247,104,45,33,84,49,88,54,2.0,,4.0,,,
100.0,0.0,199796,0,0,0,0,1,2,0.0,0.0,0,Matthew,0.7,496,False,,2021-05-13T21:30:25.872699Z,50,199796.jpg,3.2,Cash,0.7,False,,a,2,7,89,220871,0,211501,0,0.1,17.8,Cash,2373,0,2,11,35,0,0,0,6,1,0,8,468,520.8,352.9,110.0,98.7,108,37,103,21,271,85,149,35,,,,,,
,,178301,0,0,3,-3,3,4,3.8,3.3,2,Ollie,3.8,514,False,,,63,178301.jpg,4.5,Watkins,22.1,False,,a,2,7,168,4635254,0,3049913,0,0.6,26.7,Watkins,3328,14,9,14,46,0,0,1,2,1,0,18,531,809.6,598.2,1717.0,311.8,18,4,41,3,2,1,5,2,,,,,3.0,
100.0,100.0,110504,0,0,-2,2,2,3,3.3,5.2,13,Bertrand,5.7,540,False,,2021-04-10T19:30:21.577040Z,58,110504.jpg,3.8,Traoré,0.7,False,,a,2,7,135,263308,0,219181,0,1.0,23.3,Traoré,2315,7,7,11,31,0,0,0,1,0,0,7,407,491.8,529.9,874.0,189.6,131,49,52,40,31,17,40,25,4.0,,1.0,,,
