assists,id,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,493,0,17,100.0,100.0,0,151086,0,0,0,0,6.3,0,3,1.0,0.5,2,Mario,1.0,3,0,3.1,False,16.0,107,,2020-09-30T13:30:17.324660Z,45,0,0,0,151086.jpg,1.3,0,0,Lemina,0.5,False,,a,8,54,8.0,4,9089,521,56803,1829,0.2,0.9,Lemina,0
0,516,0,87,,,0,84182,0,0,0,0,0.0,0,1,3.0,2.5,3,Alphonse,3.0,11,0,16.2,False,163.0,450,,,45,0,0,0,84182.jpg,2.2,0,22,Areola,1.3,False,,a,8,54,0.0,11,49749,4884,63881,4617,0.7,2.4,Areola,0
1,517,0,29,0.0,0.0,0,167074,0,0,-1,1,67.5,0,2,0.0,0.0,0,Kenny,0.0,6,0,12.4,False,53.0,128,Calf injury - Unknown return date,2020-09-28T19:30:13.417631Z,44,0,0,0,167074.jpg,1.0,0,0,Tete,0.1,False,,i,8,54,4.0,2,5768,52,11801,734,0.0,0.5,Tete,1
0,525,0,34,,,0,72681,0,0,-1,1,20.8,0,2,0.0,-0.5,0,Denis,0.0,10,0,6.4,False,35.4,270,,,44,0,0,0,72681.jpg,0.3,0,0,Odoi,0.1,False,,a,8,54,8.0,1,5320,154,5240,492,0.0,0.2,Odoi,1
0,557,3,40,,,0,219352,0,0,0,0,74.7,0,3,4.3,3.8,2,Ademola,4.3,3,1,23.8,False,75.8,203,,,50,0,0,0,219352.jpg,4.3,0,0,Lookman,0.5,False,,a,8,54,87.0,13,38856,11983,6945,3042,0.9,2.6,Lookman,0
0,562,0,49,,,0,159506,0,0,0,0,43.9,0,2,1.7,1.2,1,Ola,1.7,4,0,10.2,False,53.2,270,,,45,0,0,0,159506.jpg,1.7,0,0,Aina,0.0,False,,a,8,54,6.0,5,2437,809,914,427,0.4,1.1,Aina,0
0,571,0,0,50.0,0.0,0,174874,0,0,0,0,0.0,0,2,0.0,0.0,0,Joachim,0.0,0,0,0.0,False,0.0,0,Ankle injury - 50% chance of playing,2020-10-16T12:30:24.578129Z,45,0,0,0,174874.jpg,0.0,0,0,Andersen,0.0,False,,d,8,54,0.0,0,203,30,167,38,0.0,0.0,Andersen,0
0,572,0,26,,,0,109646,0,0,0,0,1.1,0,2,1.5,1.0,1,Tosin,1.5,3,0,4.0,False,30.2,180,,,45,0,0,0,109646.jpg,1.5,0,0,Adarabioyo,0.0,False,,a,8,54,8.0,3,1110,283,323,120,0.3,0.7,Adarabioyo,0
0,585,0,0,0.0,0.0,0,109434,0,0,0,0,0.0,0,2,0.0,0.0,0,Terence,0.0,0,0,0.0,False,0.0,0,Foot injury - Unknown return date,2020-10-22T12:30:15.315129Z,45,0,0,0,109434.jpg,0.0,0,0,Kongolo,0.0,False,,i,8,54,0.0,0,74,36,38,20,0.0,0.0,Kongolo,0
0,216,0,3,100.0,100.0,0,15033,0,0,-1,1,0.0,0,2,0.5,0.0,0,Wes,0.0,0,0,0.0,False,0.2,1,,2020-10-16T23:00:18.261247Z,44,0,0,0,15033.jpg,1.0,0,0,Morgan,0.1,False,,a,9,13,0.0,1,6137,495,6986,708,0.0,0.2,Morgan,0
0,217,3,110,,,2,17745,0,0,0,0,0.0,1,1,5.5,5.0,10,Kasper,5.0,8,0,15.1,False,150.8,540,,,55,0,0,0,17745.jpg,4.2,0,17,Schmeichel,11.9,False,,a,9,13,0.0,25,207933,17559,348549,19998,0.9,4.5,Schmeichel,0
0,218,1,26,100.0,100.0,1,37402,0,0,0,0,3.0,0,2,2.5,2.0,6,Christian,2.0,1,0,3.0,False,27.0,100,,2020-08-15T10:00:11.758506Z,45,0,0,0,37402.jpg,3.5,0,0,Fuchs,0.1,False,,a,9,13,0.0,7,6274,1221,4644,463,0.4,1.6,Fuchs,1
0,219,0,48,75.0,100.0,1,37642,0,0,0,0,2.2,0,2,1.9,2.0,5,Jonny,2.0,5,0,6.4,False,61.6,349,Back injury - 75% chance of playing,2020-10-29T21:00:17.637822Z,55,0,0,0,37642.jpg,2.0,0,0,Evans,0.2,False,,d,9,13,0.0,8,10767,3117,7479,1058,0.4,1.5,Evans,3
0,220,0,0,0.0,0.0,0,46483,0,0,-1,1,0.0,0,3,0.0,0.0,0,Adrien,0.0,0,0,0.0,False,0.0,0,Transferred to Sampdoria,2020-10-05T07:20:56.395434Z,44,0,0,0,46483.jpg,0.0,0,0,Silva,0.3,False,,u,9,13,0.0,0,8299,54,35987,2566,0.0,0.0,Silva,0
0,221,0,13,,,0,51938,0,0,-2,2,11.8,0,3,0.8,0.3,1,Marc,0.3,0,0,1.6,False,3.0,35,,,53,0,0,0,51938.jpg,1.0,0,0,Albrighton,0.1,False,,a,9,13,2.0,3,2853,108,10152,541,0.1,0.6,Albrighton,0
0,222,0,0,0.0,0.0,0,61604,0,0,-1,1,0.0,0,3,0.0,0.0,0,Matty,0.0,0,0,0.0,False,0.0,0,Joined Barnsley on loan until January on 16/10. - Expected back 01 Feb,2020-10-16T21:30:11.572098Z,44,0,0,0,61604.jpg,0.0,0,0,James,0.3,False,,n,9,13,0.0,0,15821,117,34683,3181,0.0,0.0,James,0
0,223,0,0,,,0,95463,-1,1,-1,1,0.0,0,1,0.5,0.0,0,Danny,0.0,0,0,0.0,False,0.0,0,,,44,0,0,0,95463.jpg,0.0,0,0,Ward,0.2,False,,a,9,13,0.0,0,1806,217,6061,441,0.0,0.0,Ward,0
0,224,8,164,100.0,75.0,1,101668,0,0,0,0,24.2,2,4,3.5,2.2,7,Jamie,3.0,7,6,41.9,False,216.8,384,,2020-10-16T13:30:22.970773Z,100,0,0,0,101668.jpg,8.2,0,0,Vardy,17.6,False,,a,9,13,177.0,41,1100907,78098,1335778,67853,0.3,4.1,Vardy,0
1,225,1,66,100.0,100.0,2,106837,0,0,0,0,65.3,0,3,1.8,1.3,1,Dennis,1.3,3,1,21.7,False,84.2,350,,2020-10-16T14:00:23.233127Z,55,0,0,0,106837.jpg,4.0,0,0,Praet,0.4,False,,a,9,13,70.0,20,68392,844,56279,3417,0.2,3.6,Praet,0
0,226,0,0,0.0,0.0,0,111931,0,0,-1,1,0.0,0,2,0.0,0.0,0,Ricardo Domingos,0.0,0,0,0.0,False,0.0,0,Knee injury - Expected back 05 Dec,2020-08-15T10:00:11.805174Z,59,0,0,0,111931.jpg,0.0,0,0,Barbosa Pereira,0.1,False,,i,9,13,0.0,0,1791,146,6971,413,0.0,0.0,Pereira,0
0,227,0,19,0.0,0.0,0,155569,0,0,0,0,1.8,0,2,0.0,0.0,0,Daniel,0.0,4,0,2.4,False,22.4,144,Hamstring injury - Unknown return date,2020-10-04T13:30:15.269052Z,40,0,0,0,155569.jpg,0.0,0,0,Amartey,1.1,False,,i,9,13,0.0,0,39179,308,74212,6239,0.0,0.0,Amartey,1
0,228,0,91,,,2,166989,0,0,-1,1,71.3,0,3,2.2,1.7,2,Youri,1.7,8,1,24.3,False,122.6,540,,,64,0,0,0,166989.jpg,2.7,0,0,Tielemans,1.6,False,,a,9,13,49.0,16,66190,3488,109071,10052,0.3,2.5,Tielemans,3
0,229,0,23,,,1,168580,0,0,-3,3,36.8,0,3,1.5,1.0,0,Ayoze,1.0,4,0,17.4,False,33.0,280,,,62,0,0,0,168580.jpg,2.0,0,0,Pérez,1.1,False,,a,9,13,103.0,8,24875,723,180250,9283,0.2,1.3,Pérez,1
0,230,0,0,100.0,100.0,0,172632,0,0,-2,2,0.0,0,3,0.5,0.0,0,Demarai,0.0,0,0,0.0,False,0.0,0,,2020-09-25T21:00:14.856498Z,53,0,0,0,172632.jpg,0.0,0,0,Gray,0.1,False,,a,9,13,0.0,0,1566,101,10889,349,0.0,0.0,Gray,0
1,231,1,42,100.0,100.0,1,172780,0,0,0,0,45.8,0,3,1.5,1.0,2,James,1.0,3,1,12.4,False,40.2,170,,2020-10-04T13:30:15.292081Z,70,0,0,0,172780.jpg,3.0,0,0,Maddison,2.3,False,,a,9,13,41.0,15,231634,13600,200108,15918,0.1,2.1,Maddison,1
0,233,0,12,,,1,173515,0,0,-3,3,38.1,0,4,1.5,1.0,0,Kelechi,1.0,1,0,7.6,False,8.6,101,,,57,0,0,0,173515.jpg,1.3,0,0,Iheanacho,0.3,False,,a,9,13,29.0,4,9535,732,36986,2299,0.2,0.7,Iheanacho,0
0,234,0,8,,,0,197469,-1,1,-2,2,1.6,0,3,1.2,0.7,0,Hamza,0.7,1,0,0.5,False,3.2,13,,,48,0,0,0,197469.jpg,1.0,0,0,Choudhury,0.1,False,,a,9,13,0.0,2,1505,229,4063,260,0.1,0.4,Choudhury,0
1,235,3,66,,,2,201666,0,0,0,0,56.3,0,3,2.8,2.3,3,Harvey,2.3,8,1,37.2,False,92.8,524,,,70,0,0,0,201666.jpg,4.2,0,0,Barnes,4.4,False,,a,9,13,223.0,25,431736,8650,407003,46609,0.3,3.6,Barnes,0
0,236,0,29,0.0,0.0,1,203341,-1,1,-2,2,1.5,0,3,0.0,0.0,0,Wilfred,0.0,2,0,4.9,False,47.8,180,Groin Injury - Expected back 19 Dec,2020-09-23T14:00:18.236626Z,48,0,0,0,203341.jpg,2.5,0,0,Ndidi,0.7,False,,i,9,13,0.0,5,17832,114,125504,3478,0.0,1.0,Ndidi,0
0,237,0,0,0.0,0.0,0,213405,-1,1,-2,2,0.0,0,2,0.0,0.0,0,Filip,0.0,0,0,0.0,False,0.0,0,Joined Cardiff City on loan until the end of the season on 16/10. - Expected back 01 Jul,2020-09-11T16:00:17.923567Z,43,0,0,0,213405.jpg,0.0,0,0,Benkovic,0.0,False,,n,9,13,0.0,0,165,7,4278,134,0.0,0.0,Benkovic,0
0,238,0,64,0.0,0.0,1,218031,0,0,-1,1,24.6,0,2,0.0,0.0,0,Çaglar,0.3,7,0,15.2,False,83.4,360,Muscle injury - Expected back 16 Jan,2020-10-15T19:00:23.817858Z,54,0,0,0,218031.jpg,2.0,0,0,Söyüncü,4.6,False,,i,9,13,44.0,8,101357,113,704203,82108,0.1,1.5,Söyüncü,1
1,239,1,110,,,2,220627,0,0,3,-3,50.2,0,2,3.5,3.0,6,James,3.0,8,1,20.7,False,119.4,540,,,48,0,0,0,220627.jpg,4.3,0,0,Justin,21.8,False,,a,9,13,37.0,26,1185925,47856,499724,31837,0.6,5.4,Justin,1
0,240,0,0,,,0,244619,0,0,-2,2,0.0,0,2,0.5,0.0,0,Luke,0.0,0,0,0.0,False,0.0,0,,,43,0,0,0,244619.jpg,0.0,0,0,Thomas,0.2,False,,a,9,13,0.0,0,4690,417,21370,991,0.0,0.0,Thomas,0
3,498,4,136,0.0,,2,166477,0,0,3,-3,78.1,2,2,0.0,2.7,6,Timothy,2.7,8,1,31.0,True,145.0,540,Hamstring injury - Expected back 21 Nov,2020-10-29T21:00:18.550807Z,58,0,0,0,166477.jpg,5.8,0,0,Castagne,18.7,False,,i,9,13,86.0,35,1556101,89876,566142,222153,0.5,6.0,Castagne,1
1,518,0,75,,,3,86881,0,0,0,0,45.5,0,3,2.8,2.3,3,Nampalys,2.3,7,0,13.0,False,77.2,525,,,45,0,0,0,86881.jpg,2.7,0,0,Mendy,3.1,False,,a,9,13,8.0,16,281687,13416,135581,13234,0.5,3.6,Mendy,2
