element_type,defender,attacker,points_per_game,ict_index_pg,influence_pg,creativity_pg,threat_pg,bps_pg,form,ep_next,points_pg_last5,ict_index_pg_last5,bps_pg_last5,influence_pg_last5,creativity_pg_last5,threat_pg_last5,fixture_difficulty,is_home,opp_GS_pg,opp_GA_pg,opp_GS_last5_pg,opp_GA_last5_pg,opp_total_points_conceded_pg_atk,opp_total_points_conceded_pg_def,opp_total_points_conceded_pg_atk_last5,opp_total_points_conceded_pg_def_last5,opp_ict_index_conceded_pg_atk,opp_ict_index_conceded_pg_def,opp_ict_index_conceded_pg_atk_last5,opp_ict_index_conceded_pg_def_last5,opp_influence_conceded_pg_atk,opp_influence_conceded_pg_def,opp_influence_conceded_pg_atk_last5,opp_influence_conceded_pg_def_last5,opp_creativity_conceded_pg_atk,opp_creativity_conceded_pg_def,opp_creativity_conceded_pg_atk_last5,opp_creativity_conceded_pg_def_last5,opp_threat_conceded_pg_atk,opp_threat_conceded_pg_def,opp_threat_conceded_pg_atk_last5,opp_threat_conceded_pg_def_last5,opp_bps_conceded_pg_atk,opp_bps_conceded_pg_def,opp_bps_conceded_pg_atk_last5,opp_bps_conceded_pg_def_last5,next_points
3,0,1,2.8,3.41,15.59,6.52,11.94,10.11,4.5,4.5,5.4,4.94,16.6,23.4,9.16,16.6,3,0,1.5,1.2,1.4,0.6,21.9,15.3,19.2,12.6,32.9,16.8,24.7,16.9,101.8,94.7,80.8,100.9,107.4,43.9,94.6,42.1,120.1,29.4,70.6,26.6,79.8,85.6,69.2,83.6,2
2,1,0,3.9,3.41,19.84,3.15,11.14,19.06,2.2,2.7,2.2,1.82,14.0,8.2,3.52,6.4,3,1,1.9,1.4,2.2,2.0,21.4,11.1,16.8,4.7,25.7,13.5,22.4,9.1,97.7,93.2,88.6,65.3,73.0,21.4,70.7,10.2,86.4,20.2,65.0,15.5,75.8,69.1,59.5,43.7,1
2,1,0,3.0,3.74,18.8,10.75,7.77,16.49,2.8,2.3,2.8,3.16,14.2,18.28,7.38,5.8,4,1,1.9,1.2,2.3,1.0,24.2,13.2,24.3,10.0,32.4,17.0,31.4,21.8,116.8,114.9,127.5,152.6,93.7,33.9,82.9,41.2,113.9,21.4,102.3,25.0,88.7,87.4,89.2,85.3,6
3,0,1,3.9,6.08,16.79,26.86,17.17,13.03,7.4,6.9,7.4,8.04,26.0,37.12,23.24,19.8,4,0,1.0,1.2,1.5,2.0,22.6,19.3,27.8,19.5,30.9,15.8,30.9,17.0,106.2,101.4,118.6,105.9,95.8,29.9,95.4,32.8,107.3,26.1,96.0,31.8,78.6,89.8,99.0,92.2,5
4,0,1,2.6,3.66,9.3,6.34,21.56,5.7,3.2,3.2,3.2,3.86,6.6,10.2,6.52,23.2,3,1,1.9,0.9,3.2,1.3,20.1,15.4,26.3,15.5,28.6,14.9,30.3,19.2,94.4,101.1,116.1,140.6,89.9,26.3,90.8,26.6,102.2,21.0,95.7,23.8,74.9,85.9,103.3,103.8,1
4,0,1,2.4,4.02,8.65,7.53,24.38,5.69,2.8,2.1,2.8,6.28,9.6,16.64,11.6,34.2,5,1,2.6,0.9,2.8,0.6,19.0,9.0,17.6,7.6,21.4,13.2,16.4,14.4,78.3,93.2,68.4,91.9,63.9,22.7,44.1,21.8,72.0,16.5,52.6,30.8,67.8,70.8,59.6,67.6,1
1,1,0,4.6,2.06,20.49,0.0,0.0,19.0,3.8,3.8,3.8,1.44,16.2,14.28,0.0,0.0,2,1,1.0,1.9,1.2,2.0,29.8,22.6,31.8,20.4,43.9,20.0,35.6,14.8,137.9,104.4,138.7,87.5,141.0,53.7,97.5,36.7,160.8,41.7,120.4,23.8,112.7,109.2,122.8,103.2,1
3,0,1,3.9,5.19,18.39,19.19,14.23,16.6,3.6,4.1,4.5,5.65,15.5,19.8,18.5,18.0,3,1,1.9,1.4,2.2,2.0,21.4,11.1,16.8,4.7,25.7,13.5,22.4,9.1,97.7,93.2,88.6,65.3,73.0,21.4,70.7,10.2,86.4,20.2,65.0,15.5,75.8,69.1,59.5,43.7,2
2,1,0,1.6,1.48,10.09,1.72,3.0,8.5,0.4,0.4,2.0,2.2,19.0,21.4,0.8,0.0,2,0,1.3,1.2,0.8,0.8,23.7,15.6,24.8,22.6,32.9,15.4,40.9,18.7,108.3,102.4,125.6,132.7,102.2,30.2,143.4,36.5,119.9,21.4,141.4,16.8,80.5,84.4,72.8,103.6,1
3,0,1,3.6,4.23,17.9,17.49,6.91,15.34,4.8,4.3,4.8,4.8,17.6,22.64,18.32,7.0,3,1,1.8,1.6,1.6,2.8,24.9,12.7,27.6,8.4,35.6,17.1,25.0,9.7,116.6,106.3,94.9,55.2,119.4,38.4,75.5,29.5,120.6,25.7,79.6,11.6,97.2,86.1,106.0,65.8,9
